Nombre del producto,Descripción,Presentación,Precio,imagen src
COLÁGENO FLEX,ABSORBE EL CALCIO REPARANDO CARTÍLAGOS.,—,S/. 40,colageno-flex-premium.jpg
MELENA DE LEÓN,ADAPTÓGENO PARA CÉLULAS ENFERMAS.,—,S/. 110,melena-de-leon.jpg
HE SHOUWU,REJUVENECE. ANTIOXIDANTE.,—,S/. 35,he-shouwu.jpg
CLOROFILA POLVO,OXIGENA LA SANGRE Y DESINTOXICA.,—,S/. 50,clorofila-polvo.jpg
JERGON SACHA,INFECCIONES VIRALES Y RESPIRATORIAS.,—,S/. 27,jergon-sacha.jpg
LINPOOL,ADELGAZANTE Y CONTROL DE APETITO.,—,S/. 25,linpool-adelgazante.jpg
CAFÉ GOURMET,CAFÉ ORGÁNICO IDEAL PARA ENEMAS.,—,S/. 38,cafe-gourmet-organico.jpg
SAL MARINA,EQUILIBRIO DE LÍQUIDOS Y ELECTROLITOS.,—,S/. 10,sal-marina.jpg
ACEITE DE COCO,MEJORA SISTEMA INMUNE Y DIGESTIÓN.,450 ml,S/. 40,aceite-coco.jpg
MIEL DE ABEJA,ANTIINFLAMATORIO Y ANTIBIÓTICO NATURAL.,—,S/. 25,miel-abeja.jpg
JABÓN CALENDULA,ELIMINA MANCHAS Y CICATRIZA.,—,S/. 20,jabon-calendula.jpg
TRIPLE MAGNESIUM,"SALUD DE NERVIOS, MÚSCULOS Y HUESOS.",—,S/. 180,triple-magnesium-complex.jpg
